Reviewer Username,Date of review,Comment
jaydeliw,2021-07-26 11:44:38,product nice fast delivery nice seller recommend come buy this gaming pro mouse so damn nice😍😍😍😍
paon2399,2024-03-06 19:14:40,"Performance:Too good

Seller very responsive , reply my chat at 2 a.m . product is good ."
d*****1,2021-05-17 20:26:05,Original mouse which is lightweight and good build quality. Came packaged with sufficient bubble wrap and in good condition
admadaadm,2021-02-18 20:13:48,Great packaging and the mouse is great..No problems so far
q*****3,2021-05-29 19:16:03,hi item is arrived in 2 days. i love this seller so much he ship my item so fast as fast like covid spread in selangor. the mouse is good original logitech but i'm kinda sad because there is no bubble wrap :(( but still good box no dent at all. very recommend to this seller !!
yusof2001,2021-01-30 23:25:05,"Seller wrapped the product nicely, survived a throw by courier. Mouse working perfectly, 100% legit product. Unfortunately, it took a bit longer to arrive but it was courier problem and not the seller. Seller replied to msg so frkin fast. Definitely 5 star to seller"
mahamadawang,2023-09-15 18:40:04,"Performance:memang mantap gila utk game fps

ringan gila, nak spray dlm csgo mmg rasa best. Seller juga mantap cpt respon kalau ada tanya soalan"
x*****x,2022-12-15 15:01:22,"Performance:all good

Barang semua okayy. Original. Tapi seller tolong lah ikut request customer 😭"
stsd98,2021-06-22 13:11:13,"Nice and fast delivery, but why the price drop after I purchased... And add on rm3 extra protection only for a thin bubble wrap, lucky the box is not dent *just upgraded from g703( double click problem)  ,hopefully this g pro wireless won't kena this problem again"
k*****h,2021-10-02 19:20:01,"Good mouse that I ever use for daily office work, even use it for fps game I improve a lot on shooting accuracy"
unwanted.fits,2021-01-18 14:35:36,Pog mouse fits perfectly with my smol hand and the delivery to labuan was so fast \( ˆoˆ )/
syawalzulfikri,2022-02-05 16:19:35,DHL sidai barang sampai 4 hari siak. So far ok semua function dgn elok. Box pun takde kemek.
oilin88,2021-09-22 23:21:25,Excellent mouse. Love how fast I can play games with it
farishnashfa98,2021-05-17 14:32:25,This seller deserve 10 stars! Thank you and recommended shop! 
ariefadlan,2022-11-04 23:03:09,"Performance:suitable for a claw holding user and medium size hands (Recommend)

Ive been using for about 3 weeks now and much bigger than the G304 also a big jump upgrade to say the least for me. It is really comfortable when holding the mouse in claw position makes me improve my aim significantly to say the least."
wonglingxin,2023-10-07 15:38:32,"Performance:the packaging went through hell

I think i bought extra protection but the box itself is damaged, sorry for giving a 2 star but i cant accept the fact i bought extra protection still get this condition"
rifaikhuzairy,2021-05-25 15:14:00,"Delivered in less than 24 Hours, the Product is in the best conditions! Will recommend to others "
h*****7,2021-01-21 10:36:46,Very fast delivery. box is wrapped very well. Mouse working good
danish.zarif,2021-09-15 16:00:18,"Thanks, the product arrived safely. Mouse working just fine, its first time for me to have a lightweight mouse. So, I did try gaming with for a while, not bad. Maybe it'll takes time to adjust. Overall, it working as it should."
afar.,2021-07-02 14:11:20,"Dah sampai .. tengahari kelmarin order harini sampai depan rumah .. phantaran sangat pantas 
barang sangatla ngam 
terimakasih seller 🤗"
martin61919,2021-02-05 12:35:23,The best mouse I've ever had. Best price on the market too. Definitely worth it
shahrizan_ashraf,2021-09-15 18:28:47,Mouse termurah dipasaran. 💯% original. Dah try comparr dgn kedai lain mmg ni paling murah dan berbaloi. Fungsi semua terbaik. Software friendly user.
i*****3,2022-11-13 18:31:54,Couple of dents on the box but product was fine. No issue and missing items so far
nizar_arisin,2022-04-04 20:39:04,"Better than i expected, not tested for gaming yet. How the cursor responds is a bit weird in a good way, u dont hve to move ur whole arm just to get percise horizontal/vertical movement. This mouse can do it for u."
c*****n,2022-09-06 23:22:11,"Performance:good

Good product quality good value for money very fast delivery service with well wrapping"
amircv,2022-12-14 12:51:32,"Performance:Very good quality

Delivery is fast , took less than 24hrs to arrive
Packaging is very good , no dent on box"
